Unnamed: 0,title,datetime,browse_count,discussion_count,browse_log_norm
68,霉霉五封VMA年度艺人,2024-09-12 11:18:00,9116000,2030,16.02554166934771
69,警方回应天津机场无人机事件,2024-09-12 11:27:00,19575000,2304,16.78976379984114
70,女生眼角掉出黑色异物竟是74根眼睫毛,2024-09-12 11:28:00,110000000,5617,18.51599092375669
71,任嘉伦李兰迪首搭古装,2024-09-12 11:33:00,40357000,21000,17.513275419666183
72,国足24年换了15任主帅,2024-09-12 11:36:00,9920000,3758,16.110063479261054
73,支付宝西安电子地铁卡今夜起停用,2024-09-12 11:40:00,15592000,374,16.562268520169535
74,宋亚轩骑摇摇马射箭,2024-09-12 12:03:00,7834000,44000,15.873983793207914
75,王鹤棣起诉追瓜少年阿飞,2024-09-12 12:21:00,31754000,30000,17.273529259619593
76,要多抓造福人民的工程,2024-09-12 12:22:00,2570000,177,14.759416456871405
77,HPV疫苗卖不动了,2024-09-12 12:32:00,150000000,19000,18.82614585206053
78,剧本杀为什么没人玩了,2024-09-12 12:33:00,56543000,4495,17.850511968602785
79,24岁生下唐氏综合征患儿母亲发声,2024-09-12 12:33:00,130000000,14000,18.683045008419857
80,宋茜只有五万还剩十万,2024-09-12 12:37:00,41972000,3892,17.552513287259938
81,2024年预防出生缺陷日,2024-09-12 12:40:00,8789000,1199,15.989011497546782
82,大保护是大发展的前提,2024-09-12 12:42:00,5013000,613,15.42754509624564
83,大一就开始准备考研考公有必要吗,2024-09-12 12:45:00,5382000,5133,15.498570610268988
84,广西多河段现超警洪水,2024-09-12 12:54:00,6562000,1059,15.696805992503185
85,张朝阳建议游泳馆应免费,2024-09-12 13:04:00,14404000,3518,16.483016503750903
86,客服回应淘宝开放微信支付,2024-09-12 13:09:00,5618000,1582,15.541486286646323
87,淘宝今日逐步开放微信支付,2024-09-12 13:09:00,9955000,5870,16.113585495480432
88,库里西安城墙活动取消,2024-09-12 13:14:00,5405000,251,15.502835009055444
89,外星人拿捏的技术被打破了,2024-09-12 13:24:00,8649000,1414,15.97295426528865
90,官方回应三门峡多名学生用餐后送医,2024-09-12 13:33:00,2393000,231,14.68805836689051
91,泰国买的香奈儿回国后发现破损,2024-09-12 13:34:00,30756000,1112,17.24159565513421
92,宁德时代曾毓群称与李彦宏同名还同龄,2024-09-12 13:55:00,23780000,10000,16.98435544922691
93,日本将拍摄水浒传,2024-09-12 13:57:00,17538000,3095,16.67988051332144
94,第一次懂了无差别的意义,2024-09-12 14:00:00,32864000,7120,17.30788839171042
95,HYBE拒绝NewJeans要求,2024-09-12 14:05:00,80641000,19000,18.205517763004096
96,杨幂塞壬出海,2024-09-12 14:08:00,24421000,8253,17.010953975849354
97,镇政府回应丈夫失手杀妻后自尽,2024-09-12 14:13:00,21400000,3795,16.87890147999208
98,丈夫致妻子死亡后服药自尽,2024-09-12 14:13:00,72167000,6125,18.094493435665687
99,去大草原做一场秋日的梦,2024-09-12 14:21:00,3494000,2339,15.06655776967614
100,打顺风车后连续7天被免密支付21笔,2024-09-12 14:23:00,27706000,1967,17.13715955419996
101,刘诗诗为杨幂庆祝生日,2024-09-12 14:27:00,42589000,13000,17.567106561933677
102,解放军1秒决断保住遇险直升机,2024-09-12 14:29:00,16535000,1546,16.62098990439803
103,如何看待网络小说可代替毕业论文,2024-09-12 14:29:00,3230000,274,14.98799269519884
104,男子为向女友炫耀网购迷药被判刑,2024-09-12 14:50:00,3968000,154,15.1937727473869
105,2024游泳世界杯上海站,2024-09-12 14:58:00,3828000,1229,15.157853031554982
106,她是第一个挺身而出的人,2024-09-12 14:58:00,150000000,34000,18.82614585206053
107,林高远vs高承睿,2024-09-12 15:02:00,15129000,5168,16.532123989726973
108,林高远止步澳门赛16强,2024-09-12 15:02:00,36601000,7529,17.415586120402715
109,一跨国拐卖妇女嫌犯被押解回国,2024-09-12 15:02:00,6615000,895,15.704850355531192
110,朱星杰户外纵横冲锋衣,2024-09-12 15:13:00,6645000,9935,15.709375250129485
111,律师解读天津机场无人机事件,2024-09-12 15:20:00,10209000,1035,16.138780242151153
112,唐恬作词华晨宇新歌,2024-09-12 15:28:00,11735000,22000,16.278086387267262
113,魏建军称造车品质是第一位,2024-09-12 15:39:00,21095000,7039,16.864546603540575
114,上海出现一只在逃吗喽,2024-09-12 15:47:00,46502000,7856,17.655005880385335
115,万千气象看内蒙古,2024-09-12 15:51:00,500000000,47000,20.030118656386467
116,陈幸同3比1伯格斯特隆,2024-09-12 15:52:00,5842000,2348,15.580583761929825
